Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
EURCHF,HMUZ,-5,1,HMUZ,17
EURCHF-ICE,HMUZ,-5,1,HMUZ,20
EURCZK,HMUZ,-5,1,HMUZ,20
EURHUF,HMUZ,-5,1,HMUZ,17
EURIBOR,HMUZ,-700,-1,HMUZ,15
EURIBOR-ICE,HMUZ,-700,-1,HMUZ,15
EURINR,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,18
EURMXP,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,15
EURO600,HMUZ,-5,1,HMUZ,15
EURO600-ESG,HMUZ,-5,1,HMUZ,21
EUROFIRST100,HMU,-5,1,HMU,19
EUROFIRST80,HMU,-5,1,HMU,19
EUROSTX,HMUZ,-5,1,HMUZ,15
EUROSTX-CORE,HMUZ,-5,1,HMUZ,20
EUROSTX-DJ,HMUZ,-5,1,HMUZ,21
EUROSTX-LARGE,HMUZ,-5,1,HMUZ,15
EUROSTX-MID,HMUZ,-5,1,HMUZ,18
EUROSTX-PRICE,HMUZ,-5,1,HMUZ,19
EUROSTX-SMALL,HMUZ,-5,1,HMUZ,15
EUROSTX200-LARGE,HMUZ,-5,1,HMUZ,15
EUROSTX_BBG,HMUZ,-5,1,HMUZ,15
EUR_micro,HMUZ,-5,1,HMUZ,17
EUR_mini,HMUZ,-5,1,HMUZ,17
EVRG_yfinance,H,-999,0,H,0
EW_yfinance,H,-999,0,H,0
EXC_yfinance,H,-999,0,H,0
EXE_yfinance,H,-999,0,H,0
EXPD_yfinance,H,-999,0,H,0
EXPE_yfinance,H,-999,0,H,0
EXR_yfinance,H,-999,0,H,0
FANG,HMUZ,-5,1,HMUZ,16
FANG_yfinance,H,-999,0,H,0
FAST_yfinance,H,-999,0,H,0
FCX_yfinance,H,-999,0,H,0
FDS_yfinance,H,-999,0,H,0
FDX_yfinance,H,-999,0,H,0
FED,FGHJKMNQUVXZ,-180,-1,FGHJKMNQUVXZ,15
FEEDCOW,FHJKQUVX,-90,-1,FHJKQUVX,15
FE_yfinance,H,-999,0,H,0
FFIV_yfinance,H,-999,0,H,0
FICO_yfinance,H,-999,0,H,0
FISV_yfinance,H,-999,0,H,0
FIS_yfinance,H,-999,0,H,0
FITB_yfinance,H,-999,0,H,0
FIX_yfinance,H,-999,0,H,0
FOXA_yfinance,H,-999,0,H,0
FOX_yfinance,H,-999,0,H,0
FRT_yfinance,H,-999,0,H,0
FSLR_yfinance,H,-999,0,H,0
FTNT_yfinance,H,-999,0,H,0
FTSE100,HMUZ,-30,1,HMUZ,17
FTSE100-DIV,HMUZ,-30,1,HMUZ,17
FTSE250,HMUZ,-5,1,HMUZ,15
FTSECHINAA,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,15
FTSECHINAA-CSOP,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,28
